Company_Name,Brand_Name,Generic_Name,MRP
Alcon,Travatan,Travoprost,960.68
Allergan,Ganfort,Bimatoprost + Timolol,831.04
Neomedix healthcare,Travstar PF,Travoprost,755
Intas Pharmaceuticals,Lashisma,Bimatoprost,750
Ipca Pharma,Azopt,Brinzolamide,675.13
Pfizer,Xalacom,Latanoprost + Timolol,675
Santeen Pharmaceuticles,Cosopt PF,Dorzolamide + Timolol,650
His Eyeness,Dorbet PF,Dorzolamide+ Timolol,645.9
Ajanta Pharma,NeTALo,Netarsudil,625.31
Cipla,9PM,Latanoprost,621.15
Sun Pharmaceutical,Latoprost RT,Latanoprost,621.11
Viatris,Xalatan,Latanoprost,596.53
Irx Pharmaceuticals,Dorzorx-T,Dorzolmide+Timolol,567
Microlabs Ltd.,Betafree,Brimonidine+ Brinzolamide,543.7
Jawa Pharmaceuticals,Dortim,Dorzolamide+ Timolol,517.3
FDC ltd.,Zytrav,Travoprost,514.6
Entod Pharmaceuticals,Duo 2,Brinzolamide+ Brimonidine,478.1
Alembic,Travisight,Travoprost,467.8
Lupin,Lupitros Z,Travoprost,455.4
Sapient Pharmaceuticals,Glustop,Dorzolmide+Timolol,309.3
Indoco Remedies,Brimochek,Brimonidine,257.81
Sun ways India,Travosun,Travoprost,218.4
Protech remedies,Travipress PF,Travoprost,187.5
Neiss Laboratories,Brimonist,Brimonidine,140
Zeelab Pharmacy,Brimoz T,Brimonidine + Timolol,115
Centaur Pharmaceuticals,Glucotim LA,Timolol,71.55
Jaqson Healthcare,Timotic,Timolol,46.59
Zydus Pharma,Ocupres,Betaxolol,28.13
