Company_Name,brand_name,generic_name,MRP,Previous_Product_MRP,Difference_From_Previous
Ajanta Pharma,NeTALo,Netarsudil,625.31,,
Ajanta Pharma,Bimat -T,Bimatoprost+ Timolol,509.06,625.31,-116.25
Ajanta Pharma,Gloria,Bimatoprost,486.56,509.06,-22.5
Ajanta Pharma,Delzoc-T,Dorzolmide+Timolol,471.56,486.56,-15.0
Ajanta Pharma,Bimat,Bimatoprost,450,471.56,-21.56
Ajanta Pharma,Bimat LS,Bimatoprost,300,450,-150.0
Ajanta Pharma,Bitoma Eye Drop,Bimatoprost,250,300,-50.0
Ajanta Pharma,Tafluma,Tafluprost,229.69,250,-20.31
Ajanta Pharma,Trovaxo,Taravoprost,147.97,229.69,-81.72
Alcon,Travatan,Travoprost,960.68,,
Alcon,Travatan Z,Travoprost,960.68,960.68,0.0
Alcon,Simbrinza,Brinzolamide + Brimonidine,731.85,960.68,-228.83
Alcon,Timolast,Timolol,64.22,731.85,-667.63
Alembic,Travisight,Travoprost,467.8,,
Alembic,Brinzemic-B,Brinzolamide+ Brimonidine,440,467.8,-27.8
Allergan,Ganfort,Bimatoprost + Timolol,831.04,,
Allergan,Lumigan,Bimatoprost,709.6,831.04,-121.44
Allergan,Alphagan Z,Brimonidine,602.41,709.6,-107.19
Allergan,COMBIGAN,Brimonidine + Timolol,522.09,602.41,-80.32
Allergan,Alphagan,Brimonidine,486.28,522.09,-35.81
Allergan,Dorcor-T,Dorzolmide+Timolol,318.75,486.28,-167.53
Allergan,Betagan,Levobunolol,153.17,318.75,-165.58
Allergan,Glucomol,Timolol,71.51,153.17,-81.66
Centaur Pharmaceuticles,Glucotim LA,Timolol,71.55,,
Cipla,9PM,Latanoprost,621.15,,
Cipla,Dorzox T,Dorzolamide + Timolol,581.98,621.15,-39.17
Cipla,Dorzox,Dorzolamide,546.73,581.98,-35.25
Cipla,Brimodine B,Brinzolamide+ Brimonidine,515.62,546.73,-31.11
Cipla,Optipres,Betaxolol,514.59,515.62,-1.03
Cipla,Brimolol,Brimonidine + Timolol,477.19,514.59,-37.4
Cipla,Brimodin,Brimonidine,344.33,477.19,-132.86
Cipla,Ioprost,Latanoprost,207.62,344.33,-136.71
Cipla,Brimodin P,Brimonidine,158.44,207.62,-49.18
Entod Pharmaceuticals,Duo 2,Brinzolamide+ Brimonidine,478.1,,
Entod Pharmaceuticals,Endor Plus,Dorzolamide + Timolol,448.1,478.1,-30.0
Entod Pharmaceuticals,Abpress Eye,Brimonidine+ Timolol,309.3,448.1,-138.8
Entod Pharmaceuticals,Ocudor T,Dorzolamide + Timolol,234.38,309.3,-74.92
Entod Pharmaceuticals,Timol-P,Timolol,70.31,234.38,-164.07
FDC ltd.,Zytrav,Travoprost,514.6,,
FDC ltd.,Iobrim,Brimonidine,309.38,514.6,-205.22
FDC ltd.,Pilocar,Pilocarpine,86.78,309.38,-222.6
FDC ltd.,Iotim,Timolol,71.55,86.78,-15.23
FDC ltd.,Iobet,Betaxolol,68.63,71.55,-2.92
FDC ltd.,Pilocar 4%,Pilocarpine,53.28,68.63,-15.35
FDC ltd.,Iopar-SR Capsule,Acetazolamide,53.02,53.28,-0.26
His Eyeness,Dorbet PF,Dorzolamide+ Timolol,645.9,,
