Molecules,Total_Companies,Brands,AVG_MRP,MIN_MRP,MAX_MRP,PF_BRANDS
Dorzolamide + Timolol,15,15,461.902666666667,208.1,650,4
Travoprost,11,11,524.502727272727,147.97,960.68,5
Brimonidine,10,10,296.235,140,602.41,0
Timolol,10,10,65.484,44.49,71.56,1
Bimatoprost,9,9,467.141111111111,223.1,750,1
Brinzolamide + Brimonidine,7,7,528.298571428571,440,731.85,1
Latanoprost,5,5,478.882,207.62,621.15,2
Brimonidine + Timolol,5,5,395.336,115,553.1,1
Betaxolol,4,4,162.6825,28.13,514.59,0
Netarsudil,3,3,519.063333333333,375,625.31,0
Dorzolamide,3,3,469.743333333333,412.5,546.73,1
Pilocarpine,3,3,55.3533333333333,26,86.78,1
Acetazolamide,3,3,53.51,42.63,64.88,3
Bimatoprost + Timolol,2,2,670.05,509.06,831.04,0
Brinzolamide,2,2,594.91,514.69,675.13,0
Brimonidine + Brinzolamide,2,2,516.85,490,543.7,2
Tafluprost,2,2,380.625,229.69,531.56,0
Latanoprost + Timolol,1,1,675.0,675,675,0
Brinzolamide + Brimonidine + Timolol,1,1,538.0,538,538,1
Brinzolamide + Timolol,1,1,521.56,521.56,521.56,0
Levobunolol,1,1,153.17,153.17,153.17,0
