brand_name,generic_name,Company_Name,MRP,Price_difference
Travatan,Travoprost,Alcon,960.68,573.2295
Travatan Z,Travoprost,Alcon,960.68,573.2295
Ganfort,Bimatoprost + Timolol,Allergan,831.04,443.5895
Travstar PF,Travoprost,Neomedix healthcare,755,367.5495
Lashisma,Bimatoprost,Intas Pharmaceuticals,750,362.5495
Simbrinza,Brinzolamide + Brimonidine,Alcon,731.85,344.3995
Lumigan,Bimatoprost,Allergan,709.6,322.1495
Azopt,Brinzolamide,Ipca Pharma,675.13,287.6795
Xalacom,Latanoprost + Timolol,Pfizer,675,287.5495
Cosopt PF,Dorzolamide + Timolol,Santeen Pharmaceuticles,650,262.5495
Dorbet PF,Dorzolamide + Timolol,His Eyeness,645.9,258.4495
Awerene PF,Travoprost,His Eyeness,637.5,250.0495
NeTALo,Netarsudil,Ajanta Pharma,625.31,237.8595
9PM,Latanoprost,Cipla,621.15,233.6995
Latoprost RT,Latanoprost,Sun Pharmaceutical,621.11,233.6595
Alphagan Z,Brimonidine,Allergan,602.41,214.9595
Xalatan,Latanoprost,Viatris,596.53,209.0795
Careprost (Eye),Bimatoprost,Sun Pharmaceutical,594.38,206.9295
Synca,Brinzolamide + Brimonidine,Sun Pharmaceutical,585.94,198.4895
Dorzox T,Dorzolamide + Timolol,Cipla,581.98,194.5295
Dortas-T,Dorzolamide + Timolol,Intas Pharmaceuticals,567.19,179.7395
Dorzorx-T,Dorzolamide + Timolol,Irx Pharmaceuticals,567,179.5495
Raiki,Netarsudil,Sun Pharmaceutical,556.88,169.4295
Alphabet PF,Brimonidine + Timolol,His Eyeness,553.1,165.6495
Dorzox,Dorzolamide,Cipla,546.73,159.2795
Betafree,Brimonidine + Brinzolamide,Microlabs Ltd.,543.7,156.2495
Trisopt,Brinzolamide + Brimonidine + Timolol,Microlabs Ltd.,538,150.5495
Saflutan,Tafluprost,Santeen Pharmaceuticles,531.56,144.1095
Misopt,Dorzolamide + Timolol,Microlabs Ltd.,527.8,140.3495
COMBIGAN,Brimonidine + Timolol,Allergan,522.09,134.6395
Azarga,Brinzolamide + Timolol,Ipca Pharma,521.56,134.1095
Dortim,Dorzolamide + Timolol,Jawa Pharmaceuticals,517.3,129.8495
Brimodine B,Brinzolamide + Brimonidine,Cipla,515.62,128.1695
Brinolar BKC Free,Brinzolamide,Sun Pharmaceutical,514.69,127.2395
Zytrav,Travoprost,FDC ltd.,514.6,127.1495
Optipres,Betaxolol,Cipla,514.59,127.1395
Bimat -T,Bimatoprost + Timolol,Ajanta Pharma,509.06,121.6095
Betafree LS,Brimonidine + Brinzolamide,Microlabs Ltd.,490,102.5495
Gloria,Bimatoprost,Ajanta Pharma,486.56,99.1095
Alphagan,Brimonidine,Allergan,486.28,98.8294999999999
Brinmide-B,Brinzolamide + Brimonidine,Neomedix healthcare,480,92.5495
Duo 2,Brinzolamide + Brimonidine,Entod Pharmaceuticals,478.1,90.6495
Brimolol,Brimonidine + Timolol,Cipla,477.19,89.7395
Delzoc-T,Dorzolamide + Timolol,Ajanta Pharma,471.56,84.1095
Travisight,Travoprost,Alembic,467.8,80.3495
Synca LS,Brinzolamide + Brimonidine,Sun Pharmaceutical,466.58,79.1295
Travo Z,Travoprost,Microlabs Ltd.,464,76.5495
Cosopt,Dorzolamide + Timolol,Santeen Pharmaceuticles,459.38,71.9295
Lupitros Z,Travoprost,Lupin,455.4,67.9494999999999
Monosopt,Dorzolamide,Microlabs Ltd.,450,62.5495
Bimat,Bimatoprost,Ajanta Pharma,450,62.5495
Endor Plus,Dorzolamide + Timolol,Entod Pharmaceuticals,448.1,60.6495
Intraprost (Eye),Bimatoprost,Intas Pharmaceuticals,440.63,53.1795
Brinzemic-B,Brinzolamide + Brimonidine,Alembic,440,52.5495
Dorfort-T,Dorzolamide + Timolol,Neomedix healthcare,421.8,34.3495
Trusopt,Dorzolamide,Santeen Pharmaceuticles,412.5,25.0495
