Company_Name,Total_Products,Unique_Molecules,Drug_Classes
Microlabs Ltd.,11,10,8
Sun Pharmaceutical,9,8,7
Cipla,9,7,6
Ajanta Pharma,9,6,4
Allergan,8,7,6
FDC ltd.,7,6,5
Entod Pharmaceuticals,5,4,4
Santeen Pharmaceuticles,4,3,3
Alcon,4,3,3
Sun ways India,3,3,3
Neomedix healthcare,3,3,3
Ipca Pharma,3,3,3
IntasPharmaceuticle,3,3,3
His Eyeness,3,3,3
Lupin,2,2,2
Jawa Pharmac,2,2,2
Irx Pharmaceuticals,2,2,2
Alembic,2,2,2
viatris,1,1,1
Zydus Pharma,1,1,1
Zeelab Pharmacy,1,1,1
Sapient Pharmaceuticles,1,1,1
Protech remedies,1,1,1
Pfizer,1,1,1
Neiss Laboratories,1,1,1
Jaqson Helathcare,1,1,1
Intas Pharmaceuticals,1,1,1
Indoco Remedies,1,1,1
Centaur Pharmaceuticles,1,1,1
