drug_class,Total_Brand,Average_MRP,Minimum_MRP,Maximum_MRP
Cholinergic Agonist,3,55.3533333333333,26,86.78
Betablocker,15,97.2493333333333,28.13,514.59
Alpha Agonist,10,296.235,140,602.41
carbonic Anhydrase Inhibitor,8,344.9475,42.63,675.13
Alpha Agonist+ Betablocker,5,395.336,115,553.1
carbonic Anhydrase Inhibitor+ Betablocker,16,465.63125,208.1,650
Prostaglandinanalog,27,486.276296296296,147.97,960.68
Rho Kinase Inhibitor,3,519.063333333333,375,625.31
carbonic Anhydrase Inhibitor+ Alpha Agonist,9,525.754444444444,440,731.85
carbonic Anhydrase Inhibitor+ Alpha Agonist+ Betablocker,1,538.0,538,538
Prostaglandinanalog+ Betablocker,3,671.7,509.06,831.04
