brand_name,generic_name,drug_class,Company_Name,Study_Name,Journal,Publication_Year,Level_of_Evidence
Bimat,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Bimat,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Bimat,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Bimat -T,Bimatoprost+ Timolol,Prostaglandinanalog+ Betablocker,Ajanta Pharma,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Bimat -T,Bimatoprost+ Timolol,Prostaglandinanalog+ Betablocker,Ajanta Pharma,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Bimat -T,Bimatoprost+ Timolol,Prostaglandinanalog+ Betablocker,Ajanta Pharma,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Bimat LS,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Bimat LS,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Bimat LS,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Bitoma Eye Drop,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Bitoma Eye Drop,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Bitoma Eye Drop,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
Delzoc-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Ajanta Pharma,Dorzolamide/Timolol Fixed Combination Study Group,American Journal of Ophthalmology,1998,Level I
Delzoc-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Ajanta Pharma,Efficacy and Safety of the Fixed Combinations Latanoprost/Timolol versus Dorzolamide/Timolol in Patients with Elevated Intraocular Pressure,Ophthalmology,2004,Level I
Delzoc-T,Dorzolmide+Timolol,carbonic Anhydrase Inhibitor+ Betablocker,Ajanta Pharma,Efficacy and Safety of Fixed Combinations of Latanoprost/Timolol and Dorzolamide/Timolol in Open-Angle Glaucoma or Ocular Hypertension,Eye,2010,Level I
Gloria,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,24-Month Bimatoprost vs Timolol Trial,American Journal of Ophthalmology,2001,Level I
Gloria,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,A Six-Month Randomized Clinical Trial Comparing the Intraocular Pressure-Lowering Efficacy of Bimatoprost and Latanoprost in Patients with Ocular Hypertension or Glaucoma,American Journal of Ophthalmology,2003,Level I
Gloria,Bimatoprost,Prostaglandinanalog,Ajanta Pharma,Effect of Bimatoprost on Patients with Primary Open-Angle Glaucoma or Ocular Hypertension Who Are Nonresponders to Latanoprost,Ophthalmology,2003,Level I
NeTALo,Netarsudil,Rho Kinase Inhibitor,Ajanta Pharma,ROCKET-1 Trial,American Journal of Ophthalmology,2019,Level I
NeTALo,Netarsudil,Rho Kinase Inhibitor,Ajanta Pharma,ROCKET-4: Once-Daily Netarsudil versus Twice-Daily Timolol in Patients with Elevated Intraocular Pressure,American Journal of Ophthalmology,2019,Level I
NeTALo,Netarsudil,Rho Kinase Inhibitor,Ajanta Pharma,MERCURY-2: Once-Daily Netarsudil/Latanoprost Fixed-Dose Combination versus Netarsudil or Latanoprost Monotherapy,Ophthalmology Glaucoma,2019,Level I
Tafluma,Tafluprost,Prostaglandinanalog,Ajanta Pharma,Tafluprost Preservative-Free vs Latanoprost,Acta Ophthalmologica,2012,Level I
Tafluma,Tafluprost,Prostaglandinanalog,Ajanta Pharma,Randomized Clinical Trial of the Efficacy and Safety of Preservative-Free Tafluprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2012,Level I
Tafluma,Tafluprost,Prostaglandinanalog,Ajanta Pharma,A 1-Year Randomized Study of the Clinical and Confocal Effects of Tafluprost and Latanoprost in Newly Diagnosed Glaucoma Patients,Advances in Therapy,2015,Level I
Trovaxo,Taravoprost,Prostaglandinanalog,Ajanta Pharma,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Trovaxo,Taravoprost,Prostaglandinanalog,Ajanta Pharma,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Trovaxo,Taravoprost,Prostaglandinanalog,Ajanta Pharma,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Simbrinza,Brinzolamide + Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Alcon,Brinzolamide/Brimonidine Fixed Combination (Phase III Trial),JAMA Ophthalmology,2013,Level I
Simbrinza,Brinzolamide + Brimonidine,carbonic Anhydrase Inhibitor+ Alpha Agonist,Alcon,A Randomized Trial of Brinzolamide 1%/Brimonidine 0.2% Fixed Combination Compared with Its Individual Components in Patients with Open-Angle Glaucoma or Ocular Hypertension (Phase III),JAMA Ophthalmology,2013,Level I
Timolast,Timolol,Betablocker,Alcon,Timolol Maleate: Long-term Efficacy in Chronic Open-Angle Glaucoma,Archives of Ophthalmology,1982,Level I
Timolast,Timolol,Betablocker,Alcon,"Topical Timolol Administration Reduces the Incidence of Glaucomatous Damage in Ocular Hypertensive Individuals: A Randomized, Double-Masked, Long-term Clinical Trial",Archives of Ophthalmology,1989,Level I
Timolast,Timolol,Betablocker,Alcon,Changing Therapy from Timolol to Betaxolol: Effect on Intraocular Pressure in Selected Patients with Glaucoma,Archives of Ophthalmology,1989,Level I
Travatan,Travoprost,Prostaglandinanalog,Alcon,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travatan,Travoprost,Prostaglandinanalog,Alcon,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
Travatan,Travoprost,Prostaglandinanalog,Alcon,Travoprost 0.004% with and without Benzalkonium Chloride: Comparison of Efficacy and Safety,British Journal of Ophthalmology,2007,Level I
Travatan Z,Travoprost,Prostaglandinanalog,Alcon,Travoprost vs Timolol Multicenter Trial,American Journal of Ophthalmology,2001,Level I
Travatan Z,Travoprost,Prostaglandinanalog,Alcon,Travoprost Compared with Latanoprost and Timolol in Patients with Open-Angle Glaucoma or Ocular Hypertension,American Journal of Ophthalmology,2001,Level I
