Company_Name,Brand_Name,Generic_Name,MRP,Product_Rank
Ajanta Pharma,NeTALo,Netarsudil,625.31,1
Ajanta Pharma,Bimat -T,Bimatoprost+ Timolol,509.06,2
Ajanta Pharma,Gloria,Bimatoprost,486.56,3
Alcon,Travatan,Travoprost,960.68,1
Alcon,Travatan Z,Travoprost,960.68,2
Alcon,Simbrinza,Brinzolamide + Brimonidine,731.85,3
Alembic,Travisight,Travoprost,467.8,1
Alembic,Brinzemic-B,Brinzolamide+ Brimonidine,440,2
Allergan,Ganfort,Bimatoprost + Timolol,831.04,1
Allergan,Lumigan,Bimatoprost,709.6,2
Allergan,Alphagan Z,Brimonidine,602.41,3
Centaur Pharmaceuticles,Glucotim LA,Timolol,71.55,1
Cipla,9PM,Latanoprost,621.15,1
Cipla,Dorzox T,Dorzolamide + Timolol,581.98,2
Cipla,Dorzox,Dorzolamide,546.73,3
Entod Pharmaceuticals,Duo 2,Brinzolamide+ Brimonidine,478.1,1
Entod Pharmaceuticals,Endor Plus,Dorzolamide + Timolol,448.1,2
Entod Pharmaceuticals,Abpress Eye,Brimonidine+ Timolol,309.3,3
FDC ltd.,Zytrav,Travoprost,514.6,1
FDC ltd.,Iobrim,Brimonidine,309.38,2
FDC ltd.,Pilocar,Pilocarpine,86.78,3
His Eyeness,Dorbet PF,Dorzolamide+ Timolol,645.9,1
His Eyeness,Awerene PF,Travoprost,637.5,2
His Eyeness,Alphabet PF,Timolol + Brimonidine,553.1,3
Indoco Remedies,Brimochek,Brimonidine,257.81,1
Intas Pharmaceuticals,Lashisma,Bimatoprost,750,1
IntasPharmaceuticle,Dortas-T,Dorzolamide+ Timolol,567.19,1
IntasPharmaceuticle,Intraprost (Eye),Bimatoprost,440.63,2
IntasPharmaceuticle,Timolong,Timolol,71.56,3
Ipca Pharma,Azopt,Brinzolamide,675.13,1
Ipca Pharma,Azarga,Brinzolamide + Timolol,521.56,2
Ipca Pharma,Netasudil,Netarsudil,375,3
Irx Pharmaceuticals,Dorzorx-T,Dorzolmide+Timolol,567,1
Irx Pharmaceuticals,Brimorx,Brimonidine,206.2,2
Jaqson Helathcare,Timotic,Timolol,46.59,1
Jawa Pharmac,Dortim,Dorzolamide+ Timolol,517.3,1
Jawa Pharmac,Bexol Eye,Betaxolol,39.38,2
Lupin,Lupitros Z,Travoprost,455.4,1
Lupin,Timoblu,Timolol,44.49,2
Microlabs Ltd.,Betafree,Brimonidine+ Brinzolamide,543.7,1
Microlabs Ltd.,Trisopt,Brinzolamide+ Brimonidine+ Timolol,538,2
Microlabs Ltd.,Misopt,Dorzolamide+ Timolol,527.8,3
Neiss Laboratories,Brimonist,Brimonidine,140,1
Neomedix healthcare,Travstar PF,Travoprost,755,1
Neomedix healthcare,Brinmide-B,Brinzolamide+ Brimonidine,480,2
Neomedix healthcare,Dorfort-T,Dorzolmide+Timolol,421.8,3
Pfizer,Xalacom,Latanoprost + Timolol,675,1
Protech remedies,Travipress PF,Travoprost,187.5,1
Santeen Pharmaceuticles,Cosopt PF,Dorzolamide + Timolol,650,1
Santeen Pharmaceuticles,Saflutan,Tafluprost,531.56,2
Santeen Pharmaceuticles,Cosopt,Dorzolamide + Timolol,459.38,3
Sapient Pharmaceuticles,Glustop,Dorzolmide+Timolol,309.3,1
Sun Pharmaceutical,Latoprost RT,Latanoprost,621.11,1
Sun Pharmaceutical,Careprost (Eye),Bimatoprost,594.38,2
Sun Pharmaceutical,Synca,Brinzolamide+ Brimonidine,585.94,3
Sun ways India,Travosun,Travoprost,218.4,1
Sun ways India,Dorsun,Dorzolamide+ Timolol,208.1,2
Sun ways India,Carpinol,Pilocarpine,26,3
Zeelab Pharmacy,Brimoz T,Brimonidine + Timolol,115,1
Zydus Pharma,Ocupres,Betaxolol,28.13,1
viatris,Xalatan,Latanoprost,596.53,1
