Company_Name,brand_name,generic_name,MRP,Next_Product_MRP,Difference_To_Next
Ajanta Pharma,NeTALo,Netarsudil,625.31,509.06,116.25
Ajanta Pharma,Bimat -T,Bimatoprost+ Timolol,509.06,486.56,22.5
Ajanta Pharma,Gloria,Bimatoprost,486.56,471.56,15.0
Ajanta Pharma,Delzoc-T,Dorzolmide+Timolol,471.56,450,21.56
Ajanta Pharma,Bimat,Bimatoprost,450,300,150.0
Ajanta Pharma,Bimat LS,Bimatoprost,300,250,50.0
Ajanta Pharma,Bitoma Eye Drop,Bimatoprost,250,229.69,20.31
Ajanta Pharma,Tafluma,Tafluprost,229.69,147.97,81.72
Ajanta Pharma,Trovaxo,Taravoprost,147.97,,
Alcon,Travatan,Travoprost,960.68,960.68,0.0
Alcon,Travatan Z,Travoprost,960.68,731.85,228.83
Alcon,Simbrinza,Brinzolamide + Brimonidine,731.85,64.22,667.63
Alcon,Timolast,Timolol,64.22,,
Alembic,Travisight,Travoprost,467.8,440,27.8
Alembic,Brinzemic-B,Brinzolamide+ Brimonidine,440,,
Allergan,Ganfort,Bimatoprost + Timolol,831.04,709.6,121.44
Allergan,Lumigan,Bimatoprost,709.6,602.41,107.19
Allergan,Alphagan Z,Brimonidine,602.41,522.09,80.32
Allergan,COMBIGAN,Brimonidine + Timolol,522.09,486.28,35.81
Allergan,Alphagan,Brimonidine,486.28,318.75,167.53
Allergan,Dorcor-T,Dorzolmide+Timolol,318.75,153.17,165.58
Allergan,Betagan,Levobunolol,153.17,71.51,81.66
Allergan,Glucomol,Timolol,71.51,,
Centaur Pharmaceuticles,Glucotim LA,Timolol,71.55,,
Cipla,9PM,Latanoprost,621.15,581.98,39.17
Cipla,Dorzox T,Dorzolamide + Timolol,581.98,546.73,35.25
Cipla,Dorzox,Dorzolamide,546.73,515.62,31.11
Cipla,Brimodine B,Brinzolamide+ Brimonidine,515.62,514.59,1.03
Cipla,Optipres,Betaxolol,514.59,477.19,37.4
Cipla,Brimolol,Brimonidine + Timolol,477.19,344.33,132.86
Cipla,Brimodin,Brimonidine,344.33,207.62,136.71
Cipla,Ioprost,Latanoprost,207.62,158.44,49.18
Cipla,Brimodin P,Brimonidine,158.44,,
Entod Pharmaceuticals,Duo 2,Brinzolamide+ Brimonidine,478.1,448.1,30.0
Entod Pharmaceuticals,Endor Plus,Dorzolamide + Timolol,448.1,309.3,138.8
Entod Pharmaceuticals,Abpress Eye,Brimonidine+ Timolol,309.3,234.38,74.92
Entod Pharmaceuticals,Ocudor T,Dorzolamide + Timolol,234.38,70.31,164.07
Entod Pharmaceuticals,Timol-P,Timolol,70.31,,
FDC ltd.,Zytrav,Travoprost,514.6,309.38,205.22
FDC ltd.,Iobrim,Brimonidine,309.38,86.78,222.6
FDC ltd.,Pilocar,Pilocarpine,86.78,71.55,15.23
FDC ltd.,Iotim,Timolol,71.55,68.63,2.92
FDC ltd.,Iobet,Betaxolol,68.63,53.28,15.35
FDC ltd.,Pilocar 4%,Pilocarpine,53.28,53.02,0.26
FDC ltd.,Iopar-SR Capsule,Acetazolamide,53.02,,
His Eyeness,Dorbet PF,Dorzolamide+ Timolol,645.9,637.5,8.4
His Eyeness,Awerene PF,Travoprost,637.5,553.1,84.4
His Eyeness,Alphabet PF,Timolol + Brimonidine,553.1,,
Indoco Remedies,Brimochek,Brimonidine,257.81,,
Intas Pharmaceuticals,Lashisma,Bimatoprost,750,,
IntasPharmaceuticle,Dortas-T,Dorzolamide+ Timolol,567.19,440.63,126.56
IntasPharmaceuticle,Intraprost (Eye),Bimatoprost,440.63,71.56,369.07
IntasPharmaceuticle,Timolong,Timolol,71.56,,
Ipca Pharma,Azopt,Brinzolamide,675.13,521.56,153.57
Ipca Pharma,Azarga,Brinzolamide + Timolol,521.56,375,146.56
Ipca Pharma,Netasudil,Netarsudil,375,,
Irx Pharmaceuticals,Dorzorx-T,Dorzolmide+Timolol,567,206.2,360.8
Irx Pharmaceuticals,Brimorx,Brimonidine,206.2,,
Jaqson Helathcare,Timotic,Timolol,46.59,,
Jawa Pharmac,Dortim,Dorzolamide+ Timolol,517.3,39.38,477.92
Jawa Pharmac,Bexol Eye,Betaxolol,39.38,,
Lupin,Lupitros Z,Travoprost,455.4,44.49,410.91
Lupin,Timoblu,Timolol,44.49,,
Microlabs Ltd.,Betafree,Brimonidine+ Brinzolamide,543.7,538,5.7
Microlabs Ltd.,Trisopt,Brinzolamide+ Brimonidine+ Timolol,538,527.8,10.2
Microlabs Ltd.,Misopt,Dorzolamide+ Timolol,527.8,490,37.8
Microlabs Ltd.,Betafree LS,Brimonidine+ Brinzolamide,490,464,26.0
Microlabs Ltd.,Travo Z,Travoprost,464,450,14.0
Microlabs Ltd.,Monosopt,Dorzolamide,450,348,102.0
Microlabs Ltd.,Laprost,Latanoprst,348,223.1,124.9
Microlabs Ltd.,Bimaday LS,Bimatoprost,223.1,150,73.1
Microlabs Ltd.,Rimonid,Brimonidine,150,71.55,78.45
Microlabs Ltd.,Lopres,Timolol,71.55,42.63,28.92
Microlabs Ltd.,Acetamide,Acetazolamide,42.63,,
Neiss Laboratories,Brimonist,Brimonidine,140,,
Neomedix healthcare,Travstar PF,Travoprost,755,480,275.0
Neomedix healthcare,Brinmide-B,Brinzolamide+ Brimonidine,480,421.8,58.2
Neomedix healthcare,Dorfort-T,Dorzolmide+Timolol,421.8,,
Pfizer,Xalacom,Latanoprost + Timolol,675,,
Protech remedies,Travipress PF,Travoprost,187.5,,
Santeen Pharmaceuticles,Cosopt PF,Dorzolamide + Timolol,650,531.56,118.44
Santeen Pharmaceuticles,Saflutan,Tafluprost,531.56,459.38,72.18
Santeen Pharmaceuticles,Cosopt,Dorzolamide + Timolol,459.38,412.5,46.88
Santeen Pharmaceuticles,Trusopt,Dorzolamide,412.5,,
Sapient Pharmaceuticles,Glustop,Dorzolmide+Timolol,309.3,,
Sun Pharmaceutical,Latoprost RT,Latanoprost,621.11,594.38,26.73
Sun Pharmaceutical,Careprost (Eye),Bimatoprost,594.38,585.94,8.44
Sun Pharmaceutical,Synca,Brinzolamide+ Brimonidine,585.94,556.88,29.06
Sun Pharmaceutical,Raiki,Netarsudil,556.88,514.69,42.19
Sun Pharmaceutical,Brinolar BKC Free,Brinzolamide,514.69,466.58,48.11
Sun Pharmaceutical,Synca LS,Brinzolamide+ Brimonidine,466.58,307.5,159.08
Sun Pharmaceutical,Brimosun LS,Brimonidine,307.5,71.51,235.99
Sun Pharmaceutical,Timolet,Timolol,71.51,64.88,6.63
Sun Pharmaceutical,Diamox Tablet,Acetazolamide,64.88,,
Sun ways India,Travosun,Travoprost,218.4,208.1,10.3
Sun ways India,Dorsun,Dorzolamide+ Timolol,208.1,26,182.1
Sun ways India,Carpinol,Pilocarpine,26,,
Zeelab Pharmacy,Brimoz T,Brimonidine + Timolol,115,,
Zydus Pharma,Ocupres,Betaxolol,28.13,,
viatris,Xalatan,Latanoprost,596.53,,
