Company_Name,Total_Products,Unique_Molecules,Molecule_Diversity_Percentage,Diversity_Rank
Alembic,2,2,100.0,1
Centaur Pharmaceuticals,1,1,100.0,1
His Eyeness,3,3,100.0,1
Indoco Remedies,1,1,100.0,1
Ipca Pharma,3,3,100.0,1
Irx Pharmaceuticals,2,2,100.0,1
Jaqson Healthcare,1,1,100.0,1
Jawa Pharmaceuticals,2,2,100.0,1
Lupin,2,2,100.0,1
Neiss Laboratories,1,1,100.0,1
Neomedix healthcare,3,3,100.0,1
Pfizer,1,1,100.0,1
Protech remedies,1,1,100.0,1
Sapient Pharmaceuticals,1,1,100.0,1
Sun ways India,3,3,100.0,1
Viatris,1,1,100.0,1
Zeelab Pharmacy,1,1,100.0,1
Zydus Pharma,1,1,100.0,1
Microlabs Ltd.,11,10,90.91,2
Sun Pharmaceutical,9,8,88.89,3
Allergan,8,7,87.5,4
FDC ltd.,7,6,85.71,5
Entod Pharmaceuticals,5,4,80.0,6
Cipla,9,7,77.78,7
Alcon,4,3,75.0,8
Intas Pharmaceuticals,4,3,75.0,8
Santeen Pharmaceuticles,4,3,75.0,8
Ajanta Pharma,9,6,66.67,9
