Company_Name,Company_Average,Overall_Market_Average,Difference_From_Market,Market_Position
Alcon,679.36,387.45,291.91,Above Market
Pfizer,675.0,387.45,287.55,Above Market
His Eyeness,612.17,387.45,224.72,Above Market
Viatris,596.53,387.45,209.08,Above Market
Neomedix healthcare,552.27,387.45,164.82,Above Market
Ipca Pharma,523.9,387.45,136.45,Above Market
Santeen Pharmaceuticles,513.36,387.45,125.91,Above Market
Allergan,461.86,387.45,74.41,Above Market
Intas Pharmaceuticals,457.35,387.45,69.9,Above Market
Alembic,453.9,387.45,66.45,Above Market
Cipla,440.85,387.45,53.4,Above Market
Sun Pharmaceutical,420.39,387.45,32.94,Above Market
Irx Pharmaceuticals,386.6,387.45,-0.85,Below Market
Ajanta Pharma,385.57,387.45,-1.88,Below Market
Microlabs Ltd.,349.89,387.45,-37.56,Below Market
Sapient Pharmaceuticals,309.3,387.45,-78.15,Below Market
Entod Pharmaceuticals,308.04,387.45,-79.41,Below Market
Jawa Pharmaceuticals,278.34,387.45,-109.11,Below Market
Indoco Remedies,257.81,387.45,-129.64,Below Market
Lupin,249.94,387.45,-137.51,Below Market
Protech remedies,187.5,387.45,-199.95,Below Market
FDC ltd.,165.32,387.45,-222.13,Below Market
Sun ways India,150.83,387.45,-236.62,Below Market
Neiss Laboratories,140.0,387.45,-247.45,Below Market
Zeelab Pharmacy,115.0,387.45,-272.45,Below Market
Centaur Pharmaceuticals,71.55,387.45,-315.9,Below Market
Jaqson Healthcare,46.59,387.45,-340.86,Below Market
Zydus Pharma,28.13,387.45,-359.32,Below Market
