Company_Name,Total_Products,PF_Products,PF_Percentage,PF_Rank
His Eyeness,3,3,100.0,1
Microlabs Ltd.,11,9,81.82,2
Lupin,2,1,50.0,3
Alembic,2,1,50.0,3
Sun Pharmaceutical,9,3,33.33,4
Sun ways India,3,1,33.33,4
Neomedix healthcare,3,1,33.33,4
Santeen Pharmaceuticles,4,1,25.0,5
FDC ltd.,7,1,14.29,6
Cipla,9,1,11.11,7
Ajanta Pharma,9,1,11.11,7
Allergan,8,0,0.0,8
Entod Pharmaceuticals,5,0,0.0,8
Intas Pharmaceuticals,4,0,0.0,8
Alcon,4,0,0.0,8
Ipca Pharma,3,0,0.0,8
Jawa Pharmaceuticals,2,0,0.0,8
Irx Pharmaceuticals,2,0,0.0,8
Zydus Pharma,1,0,0.0,8
Zeelab Pharmacy,1,0,0.0,8
Viatris,1,0,0.0,8
Sapient Pharmaceuticals,1,0,0.0,8
Protech remedies,1,0,0.0,8
Pfizer,1,0,0.0,8
Neiss Laboratories,1,0,0.0,8
Jaqson Healthcare,1,0,0.0,8
Indoco Remedies,1,0,0.0,8
Centaur Pharmaceuticals,1,0,0.0,8
