brand_name,generic_name,Company_Name,preservative_Category,preservative_Type,Common_Adverse_Effects,Serious_Adverse_Effects
Delzoc-T,Dorzolmide+Timolol,Ajanta Pharma,Preservative free,N/A,"Blurred vision, ocular burning, bitter taste (dysgeusia), eye discomfort, conjunctivitis","Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)"
Travisight,Travoprost,Alembic,Preservative free,N/A,"Conjunctival hyperemia, eye irritation, iris pigmentation, eyelash growth, dry eye","Macular edema (rare), uveitis, severe ocular inflammation"
Ioprost,Latanoprost,Cipla,Preservative free,N/A,"Conjunctival hyperemia, increased eyelash growth, iris pigmentation, burning sensation","Macular edema, herpetic keratitis reactivation, uveitis"
Iopar-SR Capsule,Acetazolamide,FDC ltd.,Preservative free,N/A,"Paresthesia, fatigue, nausea, dysgeusia, polyuria, gastrointestinal discomfort","Metabolic acidosis, severe electrolyte imbalance, nephrolithiasis, aplastic anemia (rare), Stevens–Johnson syndrome (rare)"
Alphabet PF,Timolol + Brimonidine,His Eyeness,Preservative free,N/A,"Ocular irritation, conjunctival hyperemia, dry mouth, blurred vision, fatigue","Bronchospasm, severe bradycardia, heart block, severe allergic conjunctivitis"
Awerene PF,Travoprost,His Eyeness,Preservative free,N/A,"Conjunctival hyperemia, eye irritation, iris pigmentation, eyelash growth, dry eye","Macular edema (rare), uveitis, severe ocular inflammation"
Dorbet PF,Dorzolamide+ Timolol,His Eyeness,Preservative free,N/A,"Blurred vision, ocular burning, bitter taste (dysgeusia), eye discomfort, conjunctivitis","Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)"
Lupitros Z,Travoprost,Lupin,Preservative free,N/A,"Conjunctival hyperemia, eye irritation, iris pigmentation, eyelash growth, dry eye","Macular edema (rare), uveitis, severe ocular inflammation"
Acetamide,Acetazolamide,Microlabs Ltd.,Preservative free,N/A,"Paresthesia, fatigue, nausea, dysgeusia, polyuria, gastrointestinal discomfort","Metabolic acidosis, severe electrolyte imbalance, nephrolithiasis, aplastic anemia (rare), Stevens–Johnson syndrome (rare)"
Betafree,Brimonidine+ Brinzolamide,Microlabs Ltd.,Preservative free,N/A,"Blurred vision, ocular irritation, dry mouth, dysgeusia, conjunctival hyperemia","Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions"
Betafree LS,Brimonidine+ Brinzolamide,Microlabs Ltd.,Preservative free,N/A,"Blurred vision, ocular irritation, dry mouth, dysgeusia, conjunctival hyperemia","Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions"
Bimaday LS,Bimatoprost,Microlabs Ltd.,Preservative free,N/A,"Conjunctival hyperemia, eyelash growth, iris pigmentation, ocular pruritus, eye irritation","Cystoid macular edema (rare), uveitis, severe ocular inflammation"
Laprost,Latanoprst,Microlabs Ltd.,Preservative free,N/A,"Conjunctival hyperemia, increased eyelash growth, iris pigmentation, burning sensation","Macular edema, herpetic keratitis reactivation, uveitis"
Misopt,Dorzolamide+ Timolol,Microlabs Ltd.,Preservative free,N/A,"Blurred vision, ocular burning, bitter taste (dysgeusia), eye discomfort, conjunctivitis","Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)"
Monosopt,Dorzolamide,Microlabs Ltd.,Preservative free,N/A,"Ocular burning, stinging, blurred vision, bitter taste, conjunctivitis","Stevens–Johnson syndrome (rare), toxic epidermal necrolysis, corneal edema"
Travo Z,Travoprost,Microlabs Ltd.,Preservative free,N/A,"Conjunctival hyperemia, eye irritation, iris pigmentation, eyelash growth, dry eye","Macular edema (rare), uveitis, severe ocular inflammation"
Trisopt,Brinzolamide+ Brimonidine+ Timolol,Microlabs Ltd.,Preservative free,N/A,"Blurred vision, ocular irritation, conjunctival hyperemia, dry mouth, bitter taste","Bronchospasm, severe bradycardia, hypotension, severe ocular allergy, hypersensitivity reactions"
Travstar PF,Travoprost,Neomedix healthcare,Preservative free,N/A,"Conjunctival hyperemia, eye irritation, iris pigmentation, eyelash growth, dry eye","Macular edema (rare), uveitis, severe ocular inflammation"
Cosopt PF,Dorzolamide + Timolol,Santeen Pharmaceuticles,Preservative free,N/A,"Blurred vision, ocular burning, bitter taste (dysgeusia), eye discomfort, conjunctivitis","Bronchospasm, severe bradycardia, Stevens–Johnson syndrome (rare), toxic epidermal necrolysis (very rare)"
Diamox Tablet,Acetazolamide,Sun Pharmaceutical,Preservative free,N/A,"Paresthesia, fatigue, nausea, dysgeusia, polyuria, gastrointestinal discomfort","Metabolic acidosis, severe electrolyte imbalance, nephrolithiasis, aplastic anemia (rare), Stevens–Johnson syndrome (rare)"
Synca LS,Brinzolamide+ Brimonidine,Sun Pharmaceutical,Preservative free,N/A,"Blurred vision, ocular irritation, dry mouth, dysgeusia, conjunctival hyperemia","Severe allergic conjunctivitis, hypotension (rare), hypersensitivity reactions"
Timolet,Timolol,Sun Pharmaceutical,Preservative free,N/A,"Burning, stinging, dry eye, blurred vision, ocular irritation","Bronchospasm, severe bradycardia, hypotension, heart block, worsening heart failure"
Carpinol,Pilocarpine,Sun ways India,Preservative free,N/A,"Brow ache, headache, miosis, blurred vision, reduced night vision","Retinal detachment (rare), retinal tears, severe accommodative spasm"
